%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
79.0, -264.7381591796875, -225.8188934326172, -1325.0914306640625, 5598.76123046875, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560123467748E9, 2020-10-11 17:40:12.346
80.0, -93.0356216430664, -33.580562591552734, -1167.723876953125, 5518.27490234375, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012362821E9, 2020-10-11 17:40:12.362
80.0, -179.4572296142578, -134.7635498046875, -1266.595703125, 5621.0732421875, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012362821E9, 2020-10-11 17:40:12.362
81.0, -302.70562744140625, -264.208984375, -1401.0899658203125, 5814.42626953125, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012363499E9, 2020-10-11 17:40:12.363
81.0, -132.06895446777344, -79.70848846435547, -1211.922119140625, 5659.4970703125, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012363499E9, 2020-10-11 17:40:12.363
82.0, -128.07473754882812, -68.02877807617188, -1217.5057373046875, 5772.40478515625, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560123766828E9, 2020-10-11 17:40:12.376
82.0, -303.1170349121094, -262.402587890625, -1393.423095703125, 5931.634765625, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560123766828E9, 2020-10-11 17:40:12.376
83.0, -167.4970245361328, -144.99966430664062, -1261.29248046875, 5871.4072265625, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560123923073E9, 2020-10-11 17:40:12.392
83.0, -59.350341796875, -32.78022384643555, -1142.88720703125, 6058.00390625, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560123923073E9, 2020-10-11 17:40:12.392
84.0, -220.3642578125, -193.85023498535156, -1325.2410888671875, 5901.85400390625, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560123932493E9, 2020-10-11 17:40:12.393
